Reporting Range=["Monthly"],Select year=["2025"],Select month=["June"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Bookish Gift for Readers, Librarians, Bookaholics, Bookworm - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass","B0BYDDFNBD","Kitchen","92326",,"9.99","2566","50672","28290","817","0.88","9.99","32","451","227","436","9.99","17","238","124","104","1311.4","12.73",,"9.99","7","61","24","2025-06-30"
"NewEleven Gifts for Women Friendship - Funny Gifts for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Lavender Candle 8 Oz","B0BYHP62T5","Home","199",,"9.99","0","54","73","2","1.01","9.99","0","1","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass","B0C1BS7BV8","Kitchen","42962",,"14.98","1146","22469","14323","617","1.44","14.98","14","350","196","191","14.98","3","110","59","26","434.42","4.21",,"14.98","0","15","10","2025-06-30"
"NewEleven Gifts Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1BYB4SH","Kitchen","3061",,"7.98","0","138","436","31","1.01","7.98","0","3","4","7","7.98","0","1","1","1","7.98","3.23",,"7.98","0","1","0","2025-06-30"
"NewEleven Cute Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Coffee Tumbler, Glass Tumbler – Galentines Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1C1F4M4","Kitchen","1167",,"12.99","8","158","435","4","0.34","12.99","0","0","1","2","12.99","0","0","1","0","0.0","0.0",,,"0","0","0","2025-06-30"
"NewEleven Gifts For Women - Stuff For Sloth Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23XHCN1","Kitchen","18621",,"14.98","201","6047","9541","211","1.13","14.98","1","66","109","90","14.98","1","35","43","13","194.74","6.16",,"14.98","1","6","5","2025-06-30"
"NewEleven Penguin Gifts For Women - Penguin Stuff For Pengy Lovers - Cute Funny Birthday Gift, Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23Y5ZYH","Kitchen","10221",,"14.98","86","3288","5024","111","1.09","14.98","2","30","65","52","14.98","1","16","29","5","74.9","4.5",,"14.98","0","2","3","2025-06-30"
"NewEleven Gifts For Her - Cow Gifts For Women - Stuff For Cow Lovers - Cute Funny Birthday Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee","B0C242DYT4","Kitchen","8969",,"14.98","159","3780","3696","94","1.05","14.98","0","39","37","45","14.98","0","15","21","3","44.94","3.19",,"14.98","0","3","0","2025-06-30"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B0C3CW184G","Kitchen","3050",,"21.98","150","1814","747","38","1.25","21.98","2","21","12","12","21.98","0","6","5","3","69.94","7.89",,"23.98","0","0","3","2025-06-30"
"NewEleven 40th Birthday Gifts for Men Women - Vintage 1983 50th Birthday Decorations Men Women - Retro Trucker Hat (1983 Black)","B0C6DL59L9","Toys","27",,"25.98","0","5","11","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-06-30"
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, New Mom, Mom To Be, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass","B0C9BZRC4K","Kitchen","87321",,"16.98","1705","40701","32478","625","0.72","16.98","9","326","218","316","16.98","4","173","101","82","1218.26","13.12",,"16.98","3","47","25","2025-06-30"
"NewEleven Gifts For Sister From Sister, Brother - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sisters, Sis In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0C9C5VX7S","Kitchen","40089",,"9.99","2178","25812","8208","343","0.86","9.99","17","218","62","152","9.99","5","100","29","35","489.48","10.2",,"9.99","1","29","3","2025-06-30"
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Auntie, Sister - Aunty Birthday Gift, Announcement, Promoted To Auntie, Best Aunty Ever - 20 Oz Tumbler","B0C9D2PHMH","Kitchen","38178",,"15.98","1280","22239","11363","333","0.87","15.98","11","203","100","169","15.98","5","107","48","58","1118.6","17.42",,"15.98","2","43","13","2025-06-30"
"NewEleven Gifts For Friends, Bestie – Work Bestie Presents For Women Friends - Appreciation Gifts For Coworkers, Unique Present Ideas For Coworker Leaving, Farewell Party – 16 Oz Coffee Glass","B0CBJQZCFY","Kitchen","15349",,"14.98","242","6191","6979","282","1.84","14.98","1","110","131","98","14.98","1","42","41","26","389.48","9.22",,"14.98","0","14","10","2025-06-30"
"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass","B0CBJR253J","Kitchen","62647",,"9.99","1238","23995","28302","622","0.99","9.99","14","273","267","374","9.99","8","171","159","88","967.42","14.15",,"9.99","2","45","34","2025-06-30"
