item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven Gifts For Dad From Daughter - Dad Birthday Gift - Dad Gifts From Daughter - Gifts For Dad, Husband, Men - Best Dad Bday Present Idea For Father From Daughter, Wife - Trucker Hat		0529A0M2PKO	EC-9Y16-UE0I	23.2		2023-05-29 14:55:41 PDT		y	1			11				B0C5CF12F1						B0C5CF12F1				AMAZON_NA	Migrated Template	Inactive
NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Men Women Turning 50-50 Year Old Gifts For Men, Women, Mom, Dad, Wife, Husband - 20 Oz Tumbler		1023BPM3Y96	EC-NYJH-0YZA	27.18		2024-10-22 21:56:20 PDT		y	1			11				B0DH7YGD9Q						B0DH7YGD9Q				AMAZON_NA	Migrated Template	Inactive
NewEleven Mothers Day Card, Dog Mom Gifts For Women, Unique Moms Gift for Mother's Day, Cute Dog Mom Mother's Day Cards from Dogs, Puppy For Her Womens		0403FEYIFCF	EE-SVW5-ID5N	10.87		2025-04-03 15:34:18 PDT		y	1			11				B0F2TF1PWV						B0F2TF1PWV				AMAZON_NA	Migrated Template	Inactive
NewEleven Baptism Gifts for Girl, Baptism Gifts for Boys, Baptism Decorations Ornament, Baby Dedication Gift, Godchild Gift from Godparents - God Bless Baptized 2024 - Ceramic Christmas Ornaments		1025BYL82NL	EF-QF2X-QCI3	8.15		2024-10-25 15:46:17 PDT		y	1			11				B0DK11YCP5						B0DK11YCP5				AMAZON_NA	Migrated Template	Inactive
NewEleven Fathers Day Gift For Dad - Aprons Gifts For Men With Pockets - Birthday Gifts for Men, Dad, Husband, Boyfriend, Him - Grill Cooking BBQ Kitchen Chef Apron	Mens apron	0331YG4T351	EG-GNAW-VPSP	19.98		2021-03-31 02:14:26 PDT		y	3			11				B091F4PHBQ						707785066886				AMAZON_NA	Migrated Template	Inactive
NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Women, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass		1018BCGWNFM	EI-6RN9-0Z0A	23.1		2024-10-17 19:18:11 PDT		y	1			11				B0DGGDX9P5						B0DGGDX9P5				AMAZON_NA	Migrated Template	Inactive
NewEleven Gifts For Uncle From Niece, Nephew - Funny Unkie Gift, Uncle Birthday Gifts - Best Present For New Uncles, Funcle, Unky Announcement - 20 Oz Tumbler		0312FGO3Y5V	EK-W8MY-0MBR	23.1		2025-03-11 20:59:52 PDT		y	1			11				B0F17GLNKP						B0F17GLNKP				AMAZON_NA	Migrated Template	Inactive
Finally 2	<b>Searching for the perfect 30th birthday present for that special someone?</b><br><br> Saying goodbye to their 20s to welcome new beginnings in their 30s definitely calls for a celebration. You consider it a privilege to witness your loved one grow and reach another important milestone.<br><br> So as they enter a new decade, you want to give them a lovely token they’ll sure to find useful. More importantly, it has to be one that’s chic and well-crafted to suit their lifestyle.<br><br> <b>The NewEleven Talk Thirty To Me Wine Tumbler makes a sweet gift idea for stylish and modern women.</b><br><br> Any lady who’s about to hit their 30s will certainly love to drink their favorite beverages from this travel-friendly tumbler. It ideally measures in at 4.5” x 3“ and has a 12 oz liquid capacity, allowing you to keep it in your bag or bring it to the office, school or car with ease. A double-wall vacuum insulation helps keep drinks deliciously chilly.<br><br> Aside from being a total eye candy, this beautiful reusable tumbler also helps you avoid single-use plastic cups. It even comes with a sturdy metal straw and a straw cleaning brush, so you’re always refreshed and hydrated the eco-conscious way.<br><br> <p><b>Product Details:</b></p> <ul> <li>Novelty Wine Tumbler (12 oz.) </li> <li>30th birthday gifts for women, 30th Birthday Decorations</li> <li>Double-Wall Vacuum Insulation </li> <li>BPA Free and Stainless Steel </li> <li> Straw and Straw Cleaning Brush Include</li> <li>Satisfaction Guaranteed </li> </ul> <p></p> <p><b>Get this novelty wine tumbler by clicking Add to Cart above now. </b></p>	1013Y9WQNOE	EL-GTBA-4T0Z	32.98		2021-10-13 00:54:08 PDT		y	3			11				B09JC18K4L						707785091949				AMAZON_NA	Migrated Template	Inactive
NewEleven Birthday Gifts For Women - Thank You Gifts, Graduation Gifts, Inspirational Gifts For Women, Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker, Employee - 16 Oz Coffee Glass		0326AN527ZE	ES-DNQT-J2PN	23.49		2023-03-26 01:01:26 PDT		y	1			11				B0BYDC9VC8						B0BYDC9VC8				AMAZON_NA	Migrated Template	Inactive
NewEleven Grandma Gifts from Granddaughter, Grandma and Granddaughter Ceramic Ornament Gifts for Nana Nanny Gigi Grandmother, Gifts for Grandma Round Ceramic Ornament Keepsake		1025BYD9ENM	EZ-X0G8-U3J2	13.59		2024-10-25 14:01:11 PDT		y	1			11				B0DJY5K8QD						B0DJY5K8QD				AMAZON_NA	Migrated Template	Inactive
NewEleven Gifts For Dad - Fathers Day Gifts For Dad, Birthday Present For Dads, Bonus Dads - Fathers Day Card From Daughter, Son, Kid, Wife - Humorous Greeting Card		0419FQEB63G	F0-2QAC-J9UH	10.87		2025-04-19 16:43:09 PDT		y	1			11				B0F59S997T						B0F59S997T				AMAZON_NA	Migrated Template	Inactive
Gifts for Mom from Daughter, Son, Kids - Mothers Day Gifts for Mom, Women, Wife - Funny Best Birthday Gifts Ideas for Mom, Mother, Wife, New Mom, Bonus Mom, Mom to Be, Mother in Law - 12 Oz Tumbler	Tumbler	0217XVVIG13	F1-10S9-NASK	23.98		2020-02-17 02:49:06 PST		y	1			11				B07Y7ZQ265						B07Y7ZQ265				AMAZON_NA	Migrated Template	Inactive
NewEleven Retirement Gift For Woman 2024 - Happy Retirement Gifts - Coworker Leaving Gifts, Farewell Gifts, Retirement Decorations, Farewell Goodbye Gifts For Coworkers, Friends - 16 Oz Wine Glass		0506BZWEYKY	F3-JRPR-VTID	28.59		2024-05-06 08:19:04 PDT		y	1			11				B0D3HMQK45						B0D3HMQK45				AMAZON_NA	Migrated Template	Inactive
NewEleven Gifts For Mom, New Mom – 2025 Pregnancy Gifts For First Time Mom, Pregnant Mom, Expecting Mom, Mom To Be, Mama, Mommy To Be - 16 Oz Coffee Glass		0807B8JKY9G	F5-C0C3-Z1JN	17.67		2024-08-07 07:16:46 PDT		y	1			11				B0DCJQ2SKV						B0DCJQ2SKV				AMAZON_NA	Migrated Template	Inactive
